window,static-small,static-oracle,static-large,reactive,probe,usl
0,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000
1,8.00000,44.0000,96.0000,5.00000,8.00000,2.00000
2,8.00000,44.0000,96.0000,6.00000,12.0000,10.0000
3,8.00000,44.0000,96.0000,7.00000,16.0000,17.0000
4,8.00000,44.0000,96.0000,8.00000,20.0000,33.0000
5,8.00000,44.0000,96.0000,9.00000,24.0000,64.0000
6,8.00000,44.0000,96.0000,10.0000,28.0000,96.0000
7,8.00000,44.0000,96.0000,11.0000,31.2000,88.0000
8,8.00000,44.0000,96.0000,12.0000,34.4000,80.0000
9,8.00000,44.0000,96.0000,13.0000,34.4000,72.0000
10,8.00000,44.0000,96.0000,14.0000,33.6000,64.0000
11,8.00000,44.0000,96.0000,15.0000,33.6000,56.0000
12,8.00000,44.0000,96.0000,16.0000,33.6000,48.0000
13,8.00000,44.0000,96.0000,17.0000,33.6000,44.0000
14,8.00000,44.0000,96.0000,18.0000,33.6000,44.0000
15,8.00000,44.0000,96.0000,19.0000,33.6000,44.0000
16,8.00000,44.0000,96.0000,20.0000,33.6000,44.0000
17,8.00000,44.0000,96.0000,21.0000,33.6000,44.0000
18,8.00000,44.0000,96.0000,22.0000,33.6000,44.0000
19,8.00000,44.0000,96.0000,23.0000,33.6000,44.0000
20,8.00000,44.0000,96.0000,24.0000,33.6000,44.0000
21,8.00000,44.0000,96.0000,25.0000,33.6000,44.0000
22,8.00000,44.0000,96.0000,26.0000,33.6000,44.0000
23,8.00000,44.0000,96.0000,27.0000,33.6000,44.0000
24,8.00000,44.0000,96.0000,28.0000,33.6000,44.0000
25,8.00000,44.0000,96.0000,29.0000,33.6000,44.0000
26,8.00000,44.0000,96.0000,30.0000,33.6000,44.0000
27,8.00000,44.0000,96.0000,31.0000,33.6000,44.0000
28,8.00000,44.0000,96.0000,32.0000,33.6000,44.0000
29,8.00000,44.0000,96.0000,33.0000,33.6000,44.0000
30,8.00000,44.0000,96.0000,34.0000,33.6000,44.0000
31,8.00000,44.0000,96.0000,35.0000,33.6000,44.0000
32,8.00000,44.0000,96.0000,36.0000,33.6000,44.0000
33,8.00000,44.0000,96.0000,37.0000,33.6000,44.0000
34,8.00000,44.0000,96.0000,38.0000,33.6000,44.0000
35,8.00000,44.0000,96.0000,39.0000,33.6000,44.0000
36,8.00000,44.0000,96.0000,40.0000,33.6000,44.0000
37,8.00000,44.0000,96.0000,41.0000,33.6000,44.0000
38,8.00000,44.0000,96.0000,42.0000,33.6000,44.0000
39,8.00000,44.0000,96.0000,43.0000,33.6000,44.0000
40,8.00000,44.0000,96.0000,44.0000,33.6000,44.0000
41,8.00000,44.0000,96.0000,45.0000,33.6000,44.0000
42,8.00000,44.0000,96.0000,46.0000,33.6000,44.0000
43,8.00000,44.0000,96.0000,47.0000,33.6000,44.0000
44,8.00000,44.0000,96.0000,48.0000,33.6000,44.0000
45,8.00000,44.0000,96.0000,49.0000,33.6000,44.0000
46,8.00000,44.0000,96.0000,50.0000,33.6000,44.0000
47,8.00000,44.0000,96.0000,51.0000,33.6000,44.0000
48,8.00000,44.0000,96.0000,52.0000,33.6000,44.0000
49,8.00000,44.0000,96.0000,53.0000,33.6000,44.0000
50,8.00000,44.0000,96.0000,54.0000,33.6000,44.0000
51,8.00000,44.0000,96.0000,55.0000,33.6000,44.0000
52,8.00000,44.0000,96.0000,56.0000,33.6000,44.0000
53,8.00000,44.0000,96.0000,57.0000,33.6000,44.0000
54,8.00000,44.0000,96.0000,58.0000,33.6000,44.0000
55,8.00000,44.0000,96.0000,59.0000,33.6000,44.0000
56,8.00000,44.0000,96.0000,60.0000,33.6000,44.0000
57,8.00000,44.0000,96.0000,61.0000,33.6000,44.0000
58,8.00000,44.0000,96.0000,62.0000,33.6000,44.0000
59,8.00000,44.0000,96.0000,63.0000,33.6000,44.0000
60,8.00000,44.0000,96.0000,64.0000,33.6000,44.0000
61,8.00000,44.0000,96.0000,65.0000,33.6000,44.0000
62,8.00000,44.0000,96.0000,65.0000,33.6000,44.0000
63,8.00000,44.0000,96.0000,65.0000,33.6000,44.0000
64,8.00000,44.0000,96.0000,65.0000,33.6000,44.0000
65,8.00000,44.0000,96.0000,65.0000,33.6000,44.0000
66,8.00000,44.0000,96.0000,65.0000,33.6000,44.0000
67,8.00000,44.0000,96.0000,65.0000,33.6000,44.0000
68,8.00000,44.0000,96.0000,65.0000,33.6000,44.0000
69,8.00000,44.0000,96.0000,65.0000,33.6000,44.0000
70,8.00000,44.0000,96.0000,65.0000,33.6000,44.0000
71,8.00000,44.0000,96.0000,65.0000,33.6000,44.0000
72,8.00000,44.0000,96.0000,65.0000,33.6000,44.0000
73,8.00000,44.0000,96.0000,65.0000,33.6000,44.0000
74,8.00000,44.0000,96.0000,65.0000,33.6000,44.0000
75,8.00000,44.0000,96.0000,65.0000,33.6000,44.0000
76,8.00000,44.0000,96.0000,65.0000,33.6000,44.0000
77,8.00000,44.0000,96.0000,65.0000,33.6000,44.0000
78,8.00000,44.0000,96.0000,65.0000,33.6000,44.0000
79,8.00000,44.0000,96.0000,65.0000,33.6000,44.0000
