window,static-oracle-phase1,reactive,usl
0,4.00000,4.00000,4.00000
1,81.0000,5.00000,2.00000
2,81.0000,6.00000,10.0000
3,81.0000,7.00000,17.0000
4,81.0000,8.00000,33.0000
5,81.0000,9.00000,64.0000
6,81.0000,10.0000,96.0000
7,81.0000,11.0000,90.4000
8,81.0000,12.0000,85.0000
9,81.0000,13.0000,82.6000
10,81.0000,14.0000,82.6000
11,81.0000,15.0000,82.6000
12,81.0000,16.0000,82.6000
13,81.0000,17.0000,82.6000
14,81.0000,18.0000,82.6000
15,81.0000,19.0000,82.6000
16,81.0000,20.0000,82.6000
17,81.0000,21.0000,82.6000
18,81.0000,22.0000,82.6000
19,81.0000,23.0000,82.6000
20,81.0000,24.0000,82.6000
21,81.0000,25.0000,82.6000
22,81.0000,26.0000,82.6000
23,81.0000,27.0000,82.6000
24,81.0000,28.0000,82.6000
25,81.0000,29.0000,82.6000
26,81.0000,30.0000,82.6000
27,81.0000,31.0000,82.6000
28,81.0000,32.0000,82.6000
29,81.0000,33.0000,82.6000
30,81.0000,34.0000,82.6000
31,81.0000,35.0000,82.6000
32,81.0000,36.0000,82.6000
33,81.0000,37.0000,82.6000
34,81.0000,38.0000,82.6000
35,81.0000,39.0000,82.6000
36,81.0000,40.0000,82.6000
37,81.0000,41.0000,82.6000
38,81.0000,42.0000,82.6000
39,81.0000,43.0000,82.6000
40,81.0000,44.0000,82.6000
41,81.0000,45.0000,82.6000
42,81.0000,46.0000,82.6000
43,81.0000,47.0000,82.6000
44,81.0000,48.0000,82.2000
45,81.0000,49.0000,82.2000
46,81.0000,50.0000,82.2000
47,81.0000,51.0000,82.2000
48,81.0000,52.0000,81.8000
49,81.0000,53.0000,82.2000
50,81.0000,54.0000,82.2000
51,81.0000,55.0000,81.8000
52,81.0000,56.0000,81.8000
53,81.0000,57.0000,81.8000
54,81.0000,58.0000,81.4000
55,81.0000,59.0000,81.4000
56,81.0000,60.0000,81.4000
57,81.0000,61.0000,81.4000
58,81.0000,62.0000,81.4000
59,81.0000,63.0000,81.4000
60,81.0000,64.0000,81.4000
61,81.0000,65.0000,81.0000
62,81.0000,65.0000,2.00000
63,81.0000,65.0000,10.0000
64,81.0000,65.0000,17.0000
65,81.0000,65.0000,33.0000
66,81.0000,65.0000,64.0000
67,81.0000,65.0000,96.0000
68,81.0000,65.0000,88.0000
69,81.0000,65.0000,80.0000
70,81.0000,65.0000,72.0000
71,81.0000,65.0000,64.0000
72,81.0000,65.0000,56.0000
73,81.0000,65.0000,48.0000
74,81.0000,65.0000,40.0000
75,81.0000,65.0000,37.0000
76,81.0000,65.0000,37.0000
77,81.0000,65.0000,37.0000
78,81.0000,65.0000,37.0000
79,81.0000,65.0000,37.0000
80,81.0000,65.0000,37.0000
81,81.0000,65.0000,37.0000
82,81.0000,65.0000,37.0000
83,81.0000,65.0000,37.0000
84,81.0000,65.0000,37.0000
85,81.0000,65.0000,37.0000
86,81.0000,65.0000,37.0000
87,81.0000,65.0000,37.0000
88,81.0000,65.0000,37.0000
89,81.0000,65.0000,37.0000
90,81.0000,65.0000,37.0000
91,81.0000,65.0000,37.0000
92,81.0000,65.0000,37.0000
93,81.0000,65.0000,37.0000
94,81.0000,65.0000,37.0000
95,81.0000,65.0000,37.0000
96,81.0000,65.0000,37.0000
97,81.0000,65.0000,37.0000
98,81.0000,65.0000,37.0000
99,81.0000,65.0000,37.0000
100,81.0000,65.0000,37.0000
101,81.0000,65.0000,37.0000
102,81.0000,65.0000,37.0000
103,81.0000,65.0000,37.0000
104,81.0000,65.0000,37.0000
105,81.0000,65.0000,37.0000
106,81.0000,65.0000,37.0000
107,81.0000,65.0000,37.0000
108,81.0000,65.0000,37.0000
109,81.0000,65.0000,37.0000
110,81.0000,65.0000,37.0000
111,81.0000,65.0000,37.0000
112,81.0000,65.0000,37.0000
113,81.0000,65.0000,37.0000
114,81.0000,65.0000,37.0000
115,81.0000,65.0000,37.0000
116,81.0000,65.0000,37.0000
117,81.0000,65.0000,37.0000
118,81.0000,65.0000,37.0000
119,81.0000,65.0000,37.0000
