window,static-oracle-phase1,reactive,probe,usl
0,5768.61,5768.61,5768.61,5768.61
1,44043.5,7225.64,11181.5,2983.80
2,44270.8,8620.46,16091.8,13729.5
3,44314.8,9955.78,20459.4,21470.1
4,43846.2,11131.4,24066.0,33493.6
5,42815.3,12089.4,26786.7,41961.3
6,43461.6,13478.5,30104.0,43033.7
7,43511.7,14670.6,32663.9,43321.3
8,43932.4,15968.8,34745.2,43843.6
9,43718.0,17010.4,35675.4,43608.2
10,43481.4,18000.9,36109.5,43371.2
11,43453.2,19040.5,36317.9,43344.8
12,44433.6,20514.2,37169.7,44322.3
13,43625.2,21136.1,36481.4,43513.6
14,44500.8,22545.0,37210.6,44387.7
15,43910.8,23188.3,36744.8,43798.6
16,43571.3,23915.1,36482.9,43461.0
17,44236.1,25171.0,36955.2,44126.2
18,44193.1,26008.3,36954.9,44081.3
19,43599.9,26482.0,36474.6,43491.1
20,44136.2,27613.1,36906.8,44023.2
21,44113.0,28376.8,36883.1,44002.7
22,44021.9,29068.4,36852.6,43910.6
23,43766.4,29620.0,36608.7,43656.1
24,43576.9,30183.9,36460.1,43463.4
25,43677.7,30922.8,36502.4,43566.2
26,43243.7,31254.4,36192.4,43132.6
27,43776.6,32262.7,36615.8,43666.6
28,43453.2,32620.0,36312.3,43343.2
29,44274.2,33820.6,37026.5,44161.6
30,44009.2,34176.8,36759.7,43900.1
31,44333.7,34970.0,37072.7,44222.6
32,43727.0,35004.3,36542.5,43617.9
33,44118.2,35814.5,36876.4,44008.3
34,43757.1,35994.5,36575.7,43645.7
35,43541.9,36269.1,36389.8,43434.4
36,44145.7,37211.0,36929.3,44032.0
37,42843.6,36521.5,35825.3,42735.5
38,44106.5,38000.2,36896.5,43995.1
39,44599.0,38813.6,37272.6,44488.5
40,43036.2,37812.4,35978.7,42928.0
41,43251.5,38346.1,36169.3,43142.4
42,44214.4,39536.1,36943.5,44105.2
43,43133.4,38882.3,36041.9,43025.3
44,43499.5,39512.9,36397.9,43409.7
45,43841.8,40112.3,36674.5,43750.5
46,43857.5,40401.1,36707.9,43767.2
47,43675.1,40492.7,36539.9,43585.7
48,44324.9,41345.4,37093.2,44251.4
49,42501.6,39871.9,35523.2,42413.3
50,44338.0,41819.3,37040.6,44248.6
51,43806.3,41527.7,36672.4,43733.4
52,43011.2,40968.5,35970.7,42939.9
53,43298.5,41426.8,36167.4,43228.5
54,43645.6,41934.1,36486.1,43589.5
55,44114.5,42551.1,36906.2,44056.7
56,44227.6,42816.6,36984.5,44170.4
57,43894.7,42639.7,36694.1,43838.8
58,43596.9,42485.2,36429.1,43541.2
59,43462.9,42479.7,36350.3,43406.9
60,17092.5,18962.1,20826.0,17050.9
61,16887.1,18625.4,17038.2,16889.1
62,16991.8,18740.7,3968.03,2931.18
63,17135.0,18898.7,8893.49,12144.6
64,17193.7,18963.5,12823.2,17048.9
65,17008.9,18759.7,15550.3,20784.0
66,17101.6,18861.9,17757.1,18972.2
67,16978.0,18725.6,19079.9,15466.6
68,17163.0,18929.6,20231.2,16428.7
69,16900.8,18640.5,20465.6,17006.8
70,17070.2,18827.3,20609.3,18051.2
71,17185.4,18954.4,20686.1,19065.2
72,16916.9,18658.2,20360.5,19610.0
73,17252.5,19028.4,20767.5,20731.0
74,16794.3,18522.9,20214.6,20606.6
75,16917.8,18659.2,20359.4,20791.0
76,17081.6,18839.8,20559.8,20992.3
77,17034.8,18788.3,20510.0,20934.9
78,17039.6,18793.5,20513.5,20940.7
79,16949.1,18693.7,20402.9,20829.5
80,17009.0,18759.7,20473.3,20903.1
81,16960.1,18705.8,20416.4,20843.0
82,17160.4,18926.7,20656.1,21089.1
83,17253.5,19029.5,20767.1,21203.6
84,16997.4,18747.0,20464.5,20888.9
85,16986.2,18734.6,20448.8,20875.1
86,17214.6,18986.6,20722.0,21155.9
87,17013.7,18764.9,20484.0,20908.8
88,16948.9,18693.5,20401.2,20829.3
89,17021.7,18773.8,20491.2,20918.7
90,17147.1,18912.1,20640.1,21072.8
91,16958.4,18704.0,20413.8,20841.0
92,17021.7,18773.7,20486.8,20918.7
93,17091.0,18850.2,20575.5,21003.8
94,17041.6,18795.7,20510.3,20943.2
95,16948.4,18692.9,20400.2,20828.6
96,16875.6,18612.6,20316.4,20739.2
97,17127.2,18890.1,20615.2,21048.4
98,16768.9,18494.9,20185.7,20608.0
99,16929.0,18671.5,20378.0,20804.8
100,16813.7,18544.3,20245.0,20663.1
101,17007.7,18758.3,20471.3,20901.5
102,17049.9,18804.9,20522.8,20953.4
103,16923.4,18665.4,20370.3,20797.9
104,16868.9,18605.2,20304.6,20730.9
105,17144.4,18909.1,20637.2,21069.5
106,17185.1,18953.9,20691.9,21119.5
107,17048.1,18802.9,20520.0,20951.2
108,16897.4,18636.7,20336.1,20766.0
109,17026.5,18779.1,20495.2,20924.6
110,16885.6,18623.6,20323.1,20751.4
111,16866.0,18602.0,20303.5,20727.3
112,17055.8,18811.4,20529.9,20960.7
113,17045.6,18800.2,20513.1,20948.2
114,17062.5,18818.7,20541.4,20968.9
115,17267.0,19044.4,20784.2,21220.2
116,17150.4,18915.7,20645.4,21076.9
117,17288.5,19068.0,20808.5,21246.6
118,16989.1,18737.8,20449.5,20878.6
119,16974.1,18721.3,20432.9,20860.2
