poolSize,hikari_measured,hikari_fitted,dbcp2_measured,dbcp2_fitted,agroal_measured,agroal_fitted
1.00000,7084.81,6381.39,5323.64,4978.58,5371.64,6125.43
2.00000,11396.6,11374.8,8549.55,8776.44,10394.4,10957.2
4.00000,17938.8,18650.0,13460.7,14171.9,17249.8,18060.1
8.00000,27254.4,27266.3,20820.8,20394.3,28823.8,26576.6
12.0000,NaN,32043.1,NaN,23809.6,NaN,31354.7
16.0000,35031.5,34953.1,26428.0,25913.2,32742.9,34291.8
24.0000,39034.4,38048.2,28412.8,28252.5,38669.6,37452.3
32.0000,39303.6,39386.0,29379.8,29401.6,38893.8,38848.7
48.0000,39195.0,39937.9,29600.2,30250.7,38729.9,39490.2
64.0000,38860.7,39361.8,29998.2,30295.3,38341.0,38978.5
96.0000,37806.4,37236.3,30014.2,29571.0,37653.5,36940.5
